Z,absolute_pos
j,abtest_sub_variant_id
E,ad_id
p,ad_title_hash
K,advertiser_id
J,agency_id
T,browser_family
U,browser_version
L,campaign_id
c,card_idx
R,country
s,dummy
b,feed_idx
M,from_cat
A,from_doc
w,from_doc:2
x,from_doc:3
y,from_doc:4
z,from_doc:5
0,from_doc:6
1,from_doc:7
2,from_doc:8
P,from_language_lower
B,from_src
X,idx
F,image_uuid
l,interactions_count_click
t,interactions_count_click_sqrt
k,interactions_count_page_view
u,interactions_count_page_view_sqrt
a,is_viewed
v,logctr1a
V,os_family
W,os_version
H,platform_upper
Y,pos
m,pos_x
n,pos_y
I,publisher_id
3,publisher_id:2
4,publisher_id:3
5,publisher_id:4
S,region
r,req_lst_num
e,screen_h
d,screen_w
N,to_cat
C,to_doc
q,to_doc_title_hash
Q,to_language_lower
D,to_src
h,ui_abtest_id
i,ui_abtest_variant_id
O,user_interest
o,viewport_distance
G,widget_id_gen
g,window_h
f,window_w
